,fips,y
182,6047,83895.3143628521
183,6083,42865.17521864791
184,6065,58272.25329164056
185,6029,73967.5382709123
186,6115,62548.13170782543
187,6007,38786.75536904061
188,6061,62032.791337856215
189,6025,54243.281927743454
190,6087,28529.48337117055
191,6069,39714.710018011305
192,6079,44548.712530295474
193,6097,36010.2664569529
194,6071,54382.10334456922
195,6035,93630.4757418747
196,6017,83604.74713995248
197,6053,37938.28209622677
198,6107,60823.2921648651
199,6031,77924.40919107226
200,6013,28999.66599920787
201,6103,92217.49957374253
202,6075,6805.626729380152
203,6039,47054.407565704496
204,6093,88081.1690383511
205,6057,28809.805890379805
206,6099,70501.96253474736
207,6101,62325.20969372422
208,6073,40311.2971200256
209,6037,42691.2867785771
210,6019,70075.71822766599
211,6055,50055.31193410814
212,6109,47285.80929192427
213,6033,12510.186411060286
214,6015,44018.74106622902
215,6051,39562.279706075635
216,6077,56609.46143184976
217,6095,53142.48537906138
218,6059,47121.40440480863
219,6089,95303.1944049667
220,6001,22156.273844634456
221,6081,20068.584017303743
222,6113,56325.25421494116
223,6041,39555.1308438547
224,6005,53989.2291258679
225,6023,34961.649734527025
226,6085,30721.321156281265
227,6067,62611.60519471198
228,6111,48519.2390111826
229,6021,34767.90566135999
230,6047,84188.73448138566
231,6083,42725.91862995377
232,6065,58623.12305884364
233,6029,73695.76456598086
234,6115,62797.88769248762
235,6007,41844.334234886664
236,6061,62166.088116629384
237,6025,54330.02383696065
238,6087,28530.306059043818
239,6069,40778.34576448055
240,6079,44566.346229396695
241,6097,36315.92970572056
242,6071,55188.7648827569
243,6035,96075.12953367876
244,6017,85273.3538457925
245,6053,37875.31809018851
246,6107,61260.036974637966
247,6031,78258.45190754642
248,6013,29128.18875800448
249,6103,93944.93954248365
250,6075,6708.206556903679
251,6039,47911.22654811352
252,6093,90521.00625718299
253,6057,29632.111673363153
254,6099,70532.41911453221
255,6101,62733.258654135134
256,6073,40315.1049709223
257,6037,42805.14086134524
258,6019,70194.57349198147
259,6055,50125.74038348292
260,6109,47499.75714844599
261,6033,12688.6544904189
262,6015,44200.22223398063
263,6051,40500.26883326364
264,6077,57518.13270870588
265,6095,53494.952048618485
266,6059,47202.95912444859
267,6089,98170.0254662056
268,6001,22184.134991366573
269,6081,19928.387052111597
270,6113,56613.039070538434
271,6041,39721.62501038146
272,6005,54829.98041659249
273,6023,34933.56042734278
